RowID,FileName,Owner,LastModifyingUser
1,CodeReference.docx,GSuite Admin,Anusuya Goud
2,SharePointFramework.docx,GSuite Admin,Anusuya Goud
3,TaskList.xlsx,GSuite Admin,Anusuya Goud
4,My Drawing,GSuite Admin,GSuite Admin
5,SharePoint.docx,GSuite Admin,GSuite Admin
6,AllArtifacts,GSuite Admin,GSuite Admin
7,O365.docx,GSuite Admin,GSuite Admin
8,GoogleCloud.png,GSuite Admin,GSuite Admin
9,AllocatedResourcesList.xlsx,GSuite Admin,GSuite Admin
10,DocPresentation.pptx,GSuite Admin,GSuite Admin
11,GCP.png,GSuite Admin,GSuite Admin
12,O365.png,GSuite Admin,GSuite Admin
13,O365Services.png,GSuite Admin,GSuite Admin
14,DailyStatus.xlsx,GSuite Admin,GSuite Admin
15,LatestToolsList.docx,GSuite Admin,GSuite Admin
16,ToolsList.xlsx,GSuite Admin,GSuite Admin
17,DemoSlide.pptx,GSuite Admin,GSuite Admin
18,SharePoint Online.png,GSuite Admin,GSuite Admin
19,ArchitectureDesignDoc.docx,GSuite Admin,GSuite Admin
20,Insights.jpg,GSuite Admin,GSuite Admin
21,DesignPatterns.docx,GSuite Admin,GSuite Admin
22,TestDocumentUploaded.docx,GSuite Admin,GSuite Admin
23,UploadTest.docx,GSuite Admin,GSuite Admin
24,CloudServices.jpg,GSuite Admin,GSuite Admin
25,Publisher Document.pub,GSuite Admin,GSuite Admin
26,GoogleCloud_GCP.docx,GSuite Admin,GSuite Admin
27,msgraph-training-spfx-master.zip,GSuite Admin,GSuite Admin
28,Configuration.png,GSuite Admin,GSuite Admin
29,SampleJson.json,GSuite Admin,GSuite Admin
30,My Google Sheet,GSuite Admin,GSuite Admin
31,My Google Form,GSuite Admin,GSuite Admin
32,My Google Slide,GSuite Admin,GSuite Admin
33,My Document,GSuite Admin,GSuite Admin
34,Archive.rar,GSuite Admin,GSuite Admin
35,Getting started,GSuite Admin,GSuite Admin
